Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UOCT,87,0,0.00,0,0.00,26.39,87,0
BUFQ,86,0,0.00,0,0.00,20.39,86,0
FPRO,80,0,0.00,0,0.00,22.14,80,0
QTJA,78,0,0.00,0,0.00,17.83,78,0
ESHY,72,0,0.00,0,0.00,17.77,72,0
NOCT,71,0,0.00,0,0.00,35.26,71,0
IPPP,69,0,0.00,0,0.00,9.86,69,0
BAPR,68,0,0.00,0,0.00,29.87,68,0
OEUR,60,0,0.00,0,0.00,22.59,60,0
USMF,60,0,0.00,0,0.00,36.36,60,0
DSEP,57,0,0.00,0,0.00,30.33,57,0
EMDV,55,0,0.00,0,0.00,49.46,55,0
WDNA,50,0,0.00,0,0.00,17.37,50,0
DJUL,49,0,0.00,0,0.00,30.66,49,0
LUXE,49,0,0.00,50,19.00,21.14,49,0
BLKC,47,0,0.00,0,0.00,10.14,45,2
ESGG,45,0,0.00,0,0.00,118.45,45,0
ISVL,40,0,0.00,0,0.00,28.71,40,0
TTAI,39,0,0.00,0,0.00,27.75,39,0
IGEB,37,0,0.00,0,0.00,44.70,37,0
IBMO,36,0,0.00,0,0.00,25.35,36,0
VWID,30,0,0.00,0,0.00,23.97,30,0
TFJL,24,0,0.00,0,0.00,21.52,24,0
IVRA,22,0,0.00,0,0.00,13.56,22,0
STLV,22,0,0.00,0,0.00,25.71,22,0
IEME,16,0,0.00,0,0.00,25.00,16,0
PSFO,15,0,0.00,0,0.00,19.61,15,0
BFEB,14,0,0.00,0,0.00,28.68,14,0
IVDG,13,0,0.00,0,0.00,9.42,13,0
XDOC,13,0,0.00,0,0.00,20.94,13,0
YJUN,12,0,0.00,0,0.00,17.55,12,0
FDEM,10,0,0.00,0,0.00,21.71,10,0
MSMR,10,0,0.00,0,0.00,22.24,10,0
SMI,10,0,0.00,0,0.00,45.56,10,0
HYXU,7,0,0.00,0,0.00,41.62,7,0
IVLC,6,0,0.00,0,0.00,11.77,6,0
IVSG,6,0,0.00,0,0.00,9.79,6,0
MINN,6,0,0.00,0,0.00,21.85,6,0
FOMO,5,0,0.00,0,0.00,18.20,5,0
HELX,5,0,0.00,0,0.00,31.67,5,0
PUNK,5,0,0.00,0,0.00,17.78,5,0
STOT,5,0,0.00,0,0.00,46.59,5,0
EUDV,3,0,0.00,0,0.00,40.03,3,0
LYFE,3,0,0.00,0,0.00,27.74,3,0
MAAX,3,0,0.00,0,0.00,21.47,3,0
BOB,2,0,0.00,0,0.00,21.69,2,0
EAOK,2,0,0.00,0,0.00,24.09,2,0
GDE,2,0,0.00,0,0.00,21.02,2,0
